id;order_number;amount;status;created_at
50186968-421f-4d10-9f25-8ce4215b4595;boldly cautiously gazebo;1121.56;PENDING;2025-05-31T02:25:57
47f370c3-5f9c-4c99-83a4-d609c8efd36c;huzzah;22675.37;PROCESSING;2025-05-30T17:21:42
47ce72ef-3246-4c6f-9583-be54a9294814;out singing;2259.07;PROCESSING;2025-05-31T04:42:32
fc9af1b5-5c52-44b7-b1ac-80880ea4a718;mid gleefully;1429.03;CANCELLED;2025-05-30T17:50:08
c13de70d-ba0f-42fc-9945-3163b404bf13;insignificant fog;27884.98;PENDING;2025-05-31T07:30:32
e8f0783a-560d-49ba-a000-6527ec712cb9;hmph instead definitive;5878.15;COMPLETED;2025-05-30T20:39:21
fbb09af6-7796-4ab6-a9ec-50d9adccfce9;apprehensive;278.92;CANCELLED;2025-05-30T23:05:31
0d863afe-144d-483e-a08d-c49c79b20579;and;2378.44;PENDING;2025-05-30T15:51:22
298a7fa9-0bf8-4243-bb62-1e25a81887da;recompense;2813.26;PENDING;2025-05-31T05:27:42
62213de4-5c1f-4b2f-a772-cb0a034c7bd8;meh concerned;31580.91;COMPLETED;2025-05-30T21:02:31
